label,email_text
ham,Your subscription has been successfully renewed. RefID-0
ham,Reminder: Team meeting at 3 PM today. RefID-1
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-2
ham,Can you review the project proposal and share feedback? RefID-3
ham,Your subscription has been successfully renewed. RefID-4
ham,Your subscription has been successfully renewed. RefID-5
ham,Please confirm your availability for the interview. RefID-6
ham,Please confirm your availability for the interview. RefID-7
ham,Can you review the project proposal and share feedback? RefID-8
ham,Please confirm your availability for the interview. RefID-9
ham,Please confirm your availability for the interview. RefID-10
ham,Reminder: Team meeting at 3 PM today. RefID-11
ham,Thank you for your purchase. Your order has been shipped. RefID-12
ham,Can you review the project proposal and share feedback? RefID-13
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-14
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-15
ham,Looking forward to our collaboration on this project. RefID-16
ham,Your subscription has been successfully renewed. RefID-17
ham,Looking forward to our collaboration on this project. RefID-18
ham,Thank you for your purchase. Your order has been shipped. RefID-19
ham,Looking forward to our collaboration on this project. RefID-20
ham,"Hi John, please find the attached report for last quarter. RefID-21"
ham,Can you review the project proposal and share feedback? RefID-22
ham,Can you review the project proposal and share feedback? RefID-23
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-24
ham,Your subscription has been successfully renewed. RefID-25
ham,Thank you for your purchase. Your order has been shipped. RefID-26
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-27
ham,"Hi John, please find the attached report for last quarter. RefID-28"
ham,Thank you for your purchase. Your order has been shipped. RefID-29
ham,"Hi John, please find the attached report for last quarter. RefID-30"
ham,Can you review the project proposal and share feedback? RefID-31
ham,Thank you for your purchase. Your order has been shipped. RefID-32
ham,Please confirm your availability for the interview. RefID-33
ham,Looking forward to our collaboration on this project. RefID-34
ham,Your subscription has been successfully renewed. RefID-35
ham,Here are the notes from today's discussion. RefID-36
ham,Looking forward to our collaboration on this project. RefID-37
ham,Reminder: Team meeting at 3 PM today. RefID-38
ham,Your subscription has been successfully renewed. RefID-39
ham,Reminder: Team meeting at 3 PM today. RefID-40
ham,"Hi John, please find the attached report for last quarter. RefID-41"
ham,Reminder: Team meeting at 3 PM today. RefID-42
ham,Thank you for your purchase. Your order has been shipped. RefID-43
ham,Reminder: Team meeting at 3 PM today. RefID-44
ham,Please update the document with the latest changes. RefID-45
ham,Looking forward to our collaboration on this project. RefID-46
ham,"Hi John, please find the attached report for last quarter. RefID-47"
ham,Here are the notes from today's discussion. RefID-48
ham,Looking forward to our collaboration on this project. RefID-49
ham,Please update the document with the latest changes. RefID-50
ham,Please update the document with the latest changes. RefID-51
ham,Please update the document with the latest changes. RefID-52
ham,Reminder: Team meeting at 3 PM today. RefID-53
ham,Thank you for your purchase. Your order has been shipped. RefID-54
ham,Thank you for your purchase. Your order has been shipped. RefID-55
ham,Reminder: Team meeting at 3 PM today. RefID-56
ham,Please confirm your availability for the interview. RefID-57
ham,Your subscription has been successfully renewed. RefID-58
ham,Reminder: Team meeting at 3 PM today. RefID-59
ham,Please update the document with the latest changes. RefID-60
ham,Thank you for your purchase. Your order has been shipped. RefID-61
ham,Thank you for your purchase. Your order has been shipped. RefID-62
ham,"Hi John, please find the attached report for last quarter. RefID-63"
ham,Looking forward to our collaboration on this project. RefID-64
ham,"Hi John, please find the attached report for last quarter. RefID-65"
ham,Looking forward to our collaboration on this project. RefID-66
ham,Please update the document with the latest changes. RefID-67
ham,Thank you for your purchase. Your order has been shipped. RefID-68
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-69
ham,Can you review the project proposal and share feedback? RefID-70
ham,Looking forward to our collaboration on this project. RefID-71
ham,Please confirm your availability for the interview. RefID-72
ham,Can you review the project proposal and share feedback? RefID-73
ham,Looking forward to our collaboration on this project. RefID-74
ham,Here are the notes from today's discussion. RefID-75
ham,Reminder: Team meeting at 3 PM today. RefID-76
ham,"Hi John, please find the attached report for last quarter. RefID-77"
ham,Please update the document with the latest changes. RefID-78
ham,Here are the notes from today's discussion. RefID-79
ham,Please update the document with the latest changes. RefID-80
ham,Reminder: Team meeting at 3 PM today. RefID-81
ham,Reminder: Team meeting at 3 PM today. RefID-82
ham,Here are the notes from today's discussion. RefID-83
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-84
ham,Please confirm your availability for the interview. RefID-85
ham,Please update the document with the latest changes. RefID-86
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-87
ham,Reminder: Team meeting at 3 PM today. RefID-88
ham,Looking forward to our collaboration on this project. RefID-89
ham,Here are the notes from today's discussion. RefID-90
ham,Here are the notes from today's discussion. RefID-91
ham,Your subscription has been successfully renewed. RefID-92
ham,Looking forward to our collaboration on this project. RefID-93
ham,Reminder: Team meeting at 3 PM today. RefID-94
ham,Thank you for your purchase. Your order has been shipped. RefID-95
ham,Can you review the project proposal and share feedback? RefID-96
ham,Thank you for your purchase. Your order has been shipped. RefID-97
ham,"Hi John, please find the attached report for last quarter. RefID-98"
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-99
ham,Please update the document with the latest changes. RefID-100
ham,Please confirm your availability for the interview. RefID-101
ham,Looking forward to our collaboration on this project. RefID-102
ham,Here are the notes from today's discussion. RefID-103
ham,Please confirm your availability for the interview. RefID-104
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-105
ham,"Hi John, please find the attached report for last quarter. RefID-106"
ham,Your subscription has been successfully renewed. RefID-107
ham,Your subscription has been successfully renewed. RefID-108
ham,Your subscription has been successfully renewed. RefID-109
ham,Can you review the project proposal and share feedback? RefID-110
ham,Please update the document with the latest changes. RefID-111
ham,Here are the notes from today's discussion. RefID-112
ham,Thank you for your purchase. Your order has been shipped. RefID-113
ham,Let's schedule a meeting for tomorrow at 10 AM. RefID-114
ham,Looking forward to our collaboration on this project. RefID-115
ham,Can you review the project proposal and share feedback? RefID-116
ham,Thank you for your purchase. Your order has been shipped. RefID-117
ham,Looking forward to our collaboration on this project. RefID-118
